iter	Passed	Remaining
0	302	301738
1	322	161039
2	343	114031
3	363	90462
4	390	77627
5	407	67528
6	420	59671
7	434	53844
8	447	49305
9	461	45641
10	473	42612
11	487	40135
12	501	38043
13	514	36245
14	532	34965
15	538	33112
16	552	31940
17	566	30930
18	583	30129
19	597	29287
20	611	28513
21	620	27590
22	634	26950
23	652	26533
24	674	26294
25	694	26015
26	710	25606
27	735	25530
28	755	25299
29	765	24761
30	790	24709
31	802	24289
32	809	23709
33	822	23370
34	835	23045
35	845	22627
36	858	22347
37	867	21971
38	877	21630
39	891	21396
40	906	21192
41	916	20904
42	926	20625
43	935	20327
44	944	20045
45	953	19772
46	967	19618
47	978	19399
48	992	19261
49	1005	19112
50	1018	18958
51	1028	18756
52	1043	18637
53	1057	18522
54	1070	18399
55	1084	18283
56	1105	18285
57	1125	18283
58	1146	18284
59	1170	18335
60	1177	18119
61	1190	18005
62	1199	17840
63	1213	17745
64	1219	17547
65	1234	17467
66	1248	17379
67	1262	17302
68	1275	17215
69	1290	17145
70	1304	17069
71	1320	17021
72	1340	17026
73	1356	16980
74	1377	16987
75	1392	16923
76	1417	16995
77	1433	16945
78	1442	16816
79	1451	16692
80	1465	16627
81	1479	16558
82	1484	16405
83	1497	16333
84	1512	16282
85	1525	16217
86	1539	16156
87	1553	16100
88	1567	16047
89	1576	15942
90	1586	15850
91	1600	15798
92	1614	15743
93	1628	15693
94	1641	15638
95	1654	15580
96	1668	15529
97	1678	15448
98	1692	15399
99	1705	15345
100	1721	15318
101	1741	15328
102	1755	15291
103	1776	15301
104	1796	15313
105	1811	15274
106	1835	15318
107	1850	15280
108	1863	15231
109	1876	15183
110	1889	15136
111	1903	15095
112	1917	15054
113	1928	14986
114	1941	14942
115	1956	14907
116	1974	14903
117	1993	14902
118	2014	14912
119	2030	14890
120	2051	14901
121	2067	14876
122	2087	14884
123	2107	14891
124	2127	14894
125	2148	14899
126	2169	14912
127	2198	14977
128	2213	14943
129	2227	14906
130	2242	14875
131	2252	14813
132	2273	14821
133	2291	14810
134	2304	14765
135	2317	14724
136	2330	14682
137	2344	14645
138	2358	14609
139	2372	14573
140	2386	14538
141	2396	14482
142	2411	14450
143	2417	14373
144	2431	14339
145	2442	14284
146	2455	14251
147	2470	14220
148	2489	14220
149	2508	14216
150	2523	14190
151	2534	14138
152	2546	14097
153	2555	14040
154	2569	14006
155	2579	13956
156	2586	13890
157	2597	13841
158	2617	13842
159	2631	13817
160	2646	13790
161	2661	13767
162	2675	13737
163	2689	13708
164	2699	13663
165	2713	13632
166	2722	13578
167	2735	13546
168	2748	13513
169	2765	13502
170	2774	13452
171	2788	13421
172	2797	13374
173	2806	13321
174	2812	13256
175	2826	13234
176	2839	13204
177	2849	13158
178	2859	13117
179	2868	13065
180	2876	13015
181	2890	12991
182	2899	12943
183	2910	12906
184	2919	12861
185	2933	12839
186	2943	12799
187	2958	12777
188	2976	12773
189	2989	12746
190	3004	12724
191	3014	12686
192	3028	12663
193	3042	12639
194	3051	12595
195	3064	12570
196	3073	12527
197	3087	12507
198	3093	12452
199	3107	12429
200	3116	12389
201	3127	12354
202	3138	12321
203	3147	12282
204	3160	12255
205	3177	12248
206	3195	12243
207	3210	12224
208	3223	12198
209	3233	12164
210	3246	12138
211	3256	12104
212	3266	12070
213	3274	12027
214	3284	11993
215	3295	11960
216	3308	11938
217	3318	11905
218	3334	11890
219	3349	11876
220	3364	11858
221	3378	11839
222	3386	11799
223	3396	11768
224	3406	11732
225	3418	11708
226	3432	11687
227	3446	11669
228	3460	11650
229	3478	11646
230	3492	11627
231	3509	11616
232	3530	11620
233	3539	11586
234	3558	11583
235	3571	11563
236	3582	11533
237	3589	11493
238	3600	11463
239	3609	11431
240	3619	11398
241	3624	11353
242	3638	11336
243	3652	11316
244	3665	11296
245	3672	11254
246	3680	11221
247	3694	11202
248	3708	11184
249	3717	11151
250	3727	11124
251	3741	11105
252	3754	11085
253	3768	11069
254	3778	11037
255	3786	11005
256	3800	10988
257	3809	10956
258	3824	10941
259	3833	10910
260	3844	10885
261	3853	10855
262	3867	10837
263	3881	10819
264	3890	10789
265	3900	10762
266	3913	10743
267	3927	10726
268	3936	10697
269	3949	10678
270	3963	10662
271	3977	10645
272	3986	10617
273	4000	10599
274	4009	10569
275	4021	10549
276	4030	10520
277	4036	10484
278	4047	10460
279	4056	10431
280	4066	10406
281	4080	10388
282	4089	10361
283	4100	10338
284	4110	10313
285	4123	10294
286	4132	10267
287	4147	10252
288	4160	10236
289	4169	10209
290	4177	10177
291	4191	10161
292	4201	10137
293	4207	10103
294	4220	10086
295	4233	10068
296	4247	10053
297	4260	10036
298	4268	10008
299	4282	9992
300	4295	9976
301	4310	9963
302	4324	9946
303	4338	9932
304	4350	9913
305	4364	9897
306	4369	9864
307	4375	9830
308	4384	9804
309	4397	9789
310	4411	9773
311	4424	9757
312	4438	9742
313	4453	9730
314	4464	9708
315	4477	9692
316	4488	9670
317	4500	9651
318	4514	9637
319	4520	9605
320	4535	9594
321	4549	9578
322	4562	9562
323	4573	9542
324	4587	9527
325	4601	9514
326	4614	9496
327	4628	9481
328	4641	9467
329	4654	9449
330	4667	9433
331	4681	9419
332	4691	9397
333	4704	9380
334	4717	9364
335	4726	9340
336	4740	9326
337	4749	9302
338	4762	9285
339	4776	9271
340	4785	9247
341	4795	9226
342	4810	9214
343	4824	9199
344	4837	9185
345	4844	9156
346	4857	9141
347	4866	9118
348	4881	9106
349	4895	9091
350	4908	9076
351	4914	9047
352	4927	9031
353	4936	9009
354	4950	8994
355	4965	8981
356	4973	8958
357	4986	8941
358	4999	8926
359	5013	8912
360	5021	8889
361	5036	8875
362	5051	8863
363	5061	8844
364	5075	8829
365	5091	8819
366	5109	8812
367	5130	8810
368	5144	8797
369	5173	8809
370	5182	8786
371	5201	8781
372	5211	8761
373	5226	8747
374	5239	8733
375	5251	8716
376	5260	8693
377	5266	8665
378	5279	8651
379	5288	8629
380	5297	8607
381	5303	8579
382	5316	8565
383	5330	8551
384	5340	8530
385	5352	8514
386	5363	8495
387	5376	8480
388	5390	8466
389	5395	8439
390	5405	8419
391	5419	8405
392	5433	8391
393	5446	8377
394	5452	8350
395	5465	8336
396	5479	8322
397	5492	8308
398	5506	8294
399	5520	8280
400	5533	8265
401	5545	8249
402	5559	8235
403	5572	8221
404	5587	8208
405	5600	8193
406	5613	8179
407	5619	8153
408	5628	8133
409	5637	8113
410	5651	8099
411	5665	8085
412	5678	8070
413	5691	8056
414	5704	8041
415	5719	8029
416	5727	8007
417	5738	7989
418	5746	7968
419	5755	7948
420	5764	7927
421	5777	7912
422	5791	7900
423	5806	7888
424	5820	7875
425	5835	7862
426	5850	7850
427	5860	7832
428	5875	7820
429	5895	7814
430	5908	7800
431	5923	7788
432	5938	7776
433	5952	7762
434	5966	7749
435	5976	7731
436	5985	7710
437	5998	7696
438	6012	7683
439	6021	7663
440	6030	7644
441	6039	7624
442	6054	7612
443	6068	7599
444	6077	7579
445	6091	7566
446	6099	7546
447	6113	7533
448	6127	7520
449	6141	7506
450	6153	7490
451	6183	7496
452	6208	7496
453	6223	7484
454	6238	7471
455	6252	7459
456	6270	7450
457	6279	7431
458	6293	7417
459	6306	7402
460	6366	7444
461	6446	7506
462	6475	7510
463	6495	7503
464	6509	7489
465	6523	7474
466	6541	7465
467	6554	7451
468	6574	7443
469	6587	7428
470	6602	7415
471	6616	7401
472	6627	7383
473	6640	7368
474	6653	7354
475	6666	7338
476	6680	7325
477	6693	7309
478	6707	7295
479	6721	7282
480	6730	7262
481	6745	7248
482	6755	7230
483	6769	7217
484	6783	7203
485	6797	7189
486	6811	7174
487	6825	7161
488	6840	7147
489	6854	7134
490	6866	7118
491	6881	7105
492	6895	7091
493	6905	7073
494	6914	7054
495	6924	7036
496	6935	7018
497	6949	7004
498	6962	6990
499	6976	6976
500	6989	6961
501	7003	6947
502	7012	6928
503	7020	6909
504	7034	6895
505	7048	6881
506	7062	6867
507	7072	6850
508	7085	6834
509	7099	6820
510	7112	6806
511	7126	6792
512	7140	6778
513	7156	6766
514	7169	6752
515	7184	6739
516	7197	6724
517	7211	6710
518	7222	6693
519	7236	6679
520	7249	6665
521	7263	6650
522	7276	6636
523	7290	6622
524	7303	6608
525	7318	6594
526	7327	6576
527	7342	6563
528	7355	6549
529	7370	6536
530	7385	6523
531	7400	6510
532	7415	6497
533	7429	6483
534	7440	6466
535	7457	6455
536	7466	6437
537	7478	6422
538	7493	6409
539	7510	6397
540	7526	6386
541	7540	6371
542	7553	6357
543	7567	6343
544	7582	6329
545	7595	6315
546	7608	6301
547	7621	6285
548	7634	6271
549	7643	6253
550	7656	6239
551	7669	6224
552	7680	6207
553	7693	6193
554	7706	6179
555	7720	6165
556	7734	6151
557	7749	6138
558	7766	6126
559	7782	6114
560	7798	6102
561	7818	6093
562	7846	6090
563	7865	6080
564	7883	6069
565	7899	6057
566	7914	6044
567	7933	6033
568	7950	6021
569	7965	6008
570	7979	5995
571	7991	5979
572	8008	5967
573	8019	5951
574	8034	5938
575	8052	5927
576	8066	5913
577	8080	5899
578	8091	5883
579	8106	5870
580	8116	5853
581	8130	5839
582	8140	5822
583	8154	5809
584	8169	5795
585	8184	5782
586	8198	5768
587	8212	5754
588	8222	5737
589	8235	5722
590	8249	5709
591	8262	5694
592	8275	5679
593	8290	5666
594	8301	5650
595	8316	5637
596	8332	5624
597	8342	5608
598	8360	5597
